17,146,15,168,44,166,35,33,34
13,176,37,171,29,190,31,27,28
38,182,50,166,72,177,55,37,23
33,189,28,201,48,192,35,27,25
53,188,71,183,66,197,23,24,26
35,205,70,211,54,194,64,50,39
76,187,90,215,70,205,47,28,24
295,435,235,398,232,314,198,124,15
81,193,130,237,104,244,171,82,26
49,216,102,272,125,262,179,80,49
110,300,130,268,108,278,202,178,70
160,363,131,283,113,308,194,178,30
136,282,191,417,203,371,203,174,36
123,251,243,275,150,242,198,188,41
255,313,169,269,243,283,197,184,44
134,262,183,335,255,323,188,160,25
190,343,229,393,226,343,191,151,20
207,385,207,428,290,441,193,130,27
226,338,271,330,320,371,215,122,42
264,311,287,282,248,271,195,169,32
279,314,338,291,299,285,203,161,27
347,293,385,327,296,318,205,199,61
293,329,444,360,360,387,191,110,21
262,357,301,426,364,390,193,158,38
356,406,295,437,403,455,146,57,23
359,295,463,300,418,327,200,170,24
364,345,476,344,398,323,198,182,34
357,403,450,366,422,458,200,176,44
449,423,606,405,527,445,202,175,32
632,376,699,285,727,319,212,170,58
705,279,732,311,751,244,205,113,46
749,229,756,246,768,242,42,38,37
482,299,573,282,536,317,205,198,56
548,315,581,276,613,267,202,185,43
597,300,622,266,672,272,199,191,46
646,261,739,245,694,271,198,187,37
673,243,742,227,738,239,203,201,82
713,337,632,385,693,381,208,138,26
476,303,433,324,519,321,199,192,62
433,324,519,321,473,339,199,192,62
436,429,429,460,511,449,183,92,22
768,248,773,256,759,252,41,33,44
447,387,457,355,508,354,194,143,26
444,400,554,345,517,403,200,159,33
478,348,584,309,584,335,202,178,26
578,343,523,406,590,400,207,166,22
589,374,590,335,681,293,208,160,34
660,287,588,310,590,325,195,153,17
641,340,618,399,589,391,207,179,56
744,300,768,264,753,257,207,150,35
